date,ttt,interval,nh4,no3,tnmgha
7/20/2013,spring,4,3.167030007,4.761480677,7.928510684
7/20/2013,spring,4,2.623757119,2.955779073,5.579536192
7/20/2013,spring,4,2.611423825,3.381306965,5.99273079
8/15/2013,fall,5,4.654233059,4.424713698,9.078946757
8/15/2013,fall,5,6.950560309,2.025504989,8.976065298
8/15/2013,fall,5,2.882930651,2.005880372,4.888811023
8/15/2013,fall,5,2.978171651,2.991621507,5.969793158
8/15/2013,fall,5,3.565993637,2.320391321,5.886384958
8/15/2013,fall,5,3.23230757,2.618230614,5.850538184
8/15/2013,fall,5,6.346946428,4.392321449,10.73926788
8/15/2013,fall,5,3.17033292,2.683216878,5.853549798
8/15/2013,fall,5,3.322596843,3.59841285,6.921009693
8/15/2013,fall,5,5.472461758,5.134847917,10.60730967
8/15/2013,fall,5,3.883311224,2.887326636,6.770637859
8/15/2013,fall,5,3.287255297,2.464663486,5.751918783
8/15/2013,spring,5,2.770166145,3.058913543,5.829079687
8/15/2013,spring,5,6.252835154,17.72108663,23.97392178
8/15/2013,spring,5,3.437755168,4.199029711,7.636784879
8/15/2013,spring,5,10.96143488,6.289991496,17.25142637
8/15/2013,spring,5,3.672483946,3.668105864,7.34058981
8/15/2013,spring,5,3.266085633,4.474090694,7.740176327
8/15/2013,spring,5,1.51580456,3.834511984,5.350316544
8/15/2013,spring,5,1.349031655,2.486444438,3.835476093
8/15/2013,spring,5,2.987786212,2.275518186,5.263304398
8/15/2013,spring,5,2.156475609,3.258908086,5.415383694
8/15/2013,spring,5,14.8386921,5.548378709,20.38707081
8/15/2013,spring,5,1.930538579,2.735030674,4.665569253
9/6/2013,fall,6,4.238176511,1.804640114,6.042816624
9/6/2013,fall,6,4.053178073,1.167975197,5.22115327
9/6/2013,fall,6,3.603647576,4.1886475,7.792295076
9/6/2013,fall,6,3.96856354,0.343204543,4.311768083
9/6/2013,fall,6,2.960186382,0.224181541,3.184367923
9/6/2013,fall,6,3.225950228,2.468234348,5.694184576
9/6/2013,fall,6,7.732089735,1.71607651,9.448166245
9/6/2013,fall,6,7.158105989,1.768438905,8.926544894
9/6/2013,fall,6,7.265600192,1.627981111,8.893581303
9/6/2013,fall,6,6.247018626,0.529620008,6.776638634
9/6/2013,fall,6,8.646569645,3.423618086,12.07018773
9/6/2013,fall,6,8.250971407,4.525784804,12.77675621
9/6/2013,spring,6,8.357905933,1.288773955,9.646679888
9/6/2013,spring,6,7.592338267,0.990967095,8.583305362
9/6/2013,spring,6,6.665505897,2.751950592,9.417456489
9/6/2013,spring,6,8.241546258,1.467875162,9.70942142
9/6/2013,spring,6,5.417155919,0.275973521,5.69312944
9/6/2013,spring,6,7.156272796,1.04084122,8.197114016
9/6/2013,spring,6,4.817319133,0.481825773,5.299144907
9/6/2013,spring,6,3.60712274,0.525615828,4.132738567
9/6/2013,spring,6,4.487763728,1.215396158,5.703159886
9/6/2013,spring,6,3.807494794,0.67247348,4.479968274
9/6/2013,spring,6,3.970507347,0.177966076,4.148473423
9/6/2013,spring,6,3.167347262,0.323760981,3.491108243
9/18/2012,fall,1,12.68789761,30.18181703,42.86971464
9/18/2012,fall,1,7.112912295,27.49044481,34.60335711
9/18/2012,fall,1,6.728430549,26.52924045,33.257671
9/18/2012,fall,1,4.613780948,29.0283718,33.64215275
9/18/2012,fall,1,8.650839277,32.87318925,41.52402853
9/18/2012,fall,1,6.728430549,43.830919,50.55934955
9/18/2012,fall,1,6.536189676,27.10596307,33.64215275
9/18/2012,fall,1,6.343948803,29.41285354,35.75680234
9/18/2012,spring,1,7.416377025,86.28321563,93.69959266
9/18/2012,spring,1,6.511940802,23.87711628,30.38905708
9/18/2012,spring,1,9.044362226,116.4913855,125.5357477
9/18/2012,spring,1,9.044362226,24.05800352,33.10236575
9/18/2012,spring,1,8.320813248,64.2149718,72.53578505
9/18/2012,spring,1,13.20476885,41.0614045,54.26617335
9/18/2012,spring,1,5.969279069,39.4334193,45.40269837
9/18/2012,spring,1,7.778151514,36.72011064,44.49826215
10/18/2013,fall,7,15.18702895,5.767226185,20.95425514
10/18/2013,fall,7,11.91893412,3.844817457,15.76375158
10/18/2013,fall,7,11.14997062,3.844817457,14.99478808
10/18/2013,fall,7,12.30341586,4.613780948,16.91719681
10/18/2013,fall,7,12.68789761,6.920671422,19.60856903
10/18/2013,fall,7,12.88013848,7.881875786,20.76201427
10/18/2013,fall,7,11.72669324,6.343948803,18.07064204
10/18/2013,fall,7,14.99478808,7.112912295,22.10770038
10/18/2013,spring,7,12.84299436,9.406136715,22.24913108
10/18/2013,spring,7,13.56654334,7.959038759,21.5255821
10/18/2013,spring,7,11.75767089,13.0238816,24.78155249
10/18/2013,spring,7,12.66210712,5.788391824,18.45049894
10/18/2013,spring,7,13.20476885,10.12968569,23.33445454
10/18/2013,spring,7,13.56654334,4.883955602,18.45049894
10/18/2013,spring,7,16.6416265,6.873715291,23.51534179
10/18/2013,spring,7,10.85323467,7.416377025,18.2696117
