Month,Day,Year,date,precip,wnd,solr,rh,pet,atmp,dpnt,stmp4,stmp8
2,24,2013,2/24/2013,0,2.3,13.2,93.5,0.05,-7.888888889,-8.777777778,0,0.611111111
2,25,2013,2/25/2013,0.381,19.3,10.38,96.2,0.04,-7.277777778,-7.777777778,0,0.5
2,26,2013,2/26/2013,0.0254,9.5,17.96,90.9,0.06,-11.72222222,-12.88888889,0,0.277777778
2,27,2013,2/27/2013,0,6.7,14.82,90.4,0.06,-9.5,-10.77777778,0,0.277777778
2,28,2013,2/28/2013,0.0254,9.1,8.84,91.7,0.04,-2.5,-3.722222222,0,0.388888889
3,1,2013,3/1/2013,0.1524,13.1,11.1,97.1,0.05,-0.611111111,-1,0,0.388888889
3,2,2013,3/2/2013,0,17,19.76,92.9,0.09,-3.111111111,-4.111111111,0,0.277777778
3,3,2013,3/3/2013,0,8.4,19.13,96.6,0.1,-1.722222222,-2.222222222,0,0.388888889
3,4,2013,3/4/2013,0,10.9,19,96.4,0.11,3.388888889,2.888888889,0,0.388888889
3,5,2013,3/5/2013,0,7,15.66,95.8,0.1,4.111111111,3.388888889,0.111111111,0.388888889
3,6,2013,3/6/2013,0,7.8,14.11,92.3,0.1,8.388888889,7.222222222,1.111111111,0.5
3,7,2013,3/7/2013,0.8636,9.8,7.13,94.1,0.04,4.277777778,3.388888889,3.111111111,1.111111111
3,8,2013,3/8/2013,0.0254,10.4,10.54,78.6,0.05,-0.277777778,-3.722222222,2,2
3,9,2013,3/9/2013,0,11.8,7.2,87,0.04,-1.5,-3.388888889,1.111111111,1.777777778
3,10,2013,3/10/2013,0,6.1,18.01,87,0.09,-0.388888889,-2.388888889,1.111111111,1.777777778
3,11,2013,3/11/2013,0,5.6,19.33,88.2,0.11,1,-1,1.611111111,2.222222222
3,12,2013,3/12/2013,0,12.1,14.41,85.7,0.1,6.222222222,3.722222222,2.777777778,2.888888889
3,13,2013,3/13/2013,0,9.4,15.82,89.4,0.1,5.277777778,3.5,4.5,4.277777778
3,14,2013,3/14/2013,0.0254,11.1,9.53,92,0.06,4.888888889,3.722222222,3.888888889,4.277777778
3,15,2013,3/15/2013,0,18.1,17.76,82.1,0.12,5.388888889,2.5,4.5,4.777777778
3,16,2013,3/16/2013,0,11,22.42,73.3,0.12,-0.888888889,-5.5,3.111111111,3.888888889
3,17,2013,3/17/2013,0,13.9,10.1,70,0.06,0,-5.222222222,2.111111111,3
3,18,2013,3/18/2013,0,17.2,21.5,80.1,0.15,5.222222222,1.777777778,3.277777778,3.277777778
3,19,2013,3/19/2013,0,8.1,9.09,84.1,0.05,3.222222222,0.611111111,3.277777778,3.611111111
3,20,2013,3/20/2013,0,16.2,7.02,76,0.06,10.88888889,6.611111111,4.888888889,4.388888889
3,21,2013,3/21/2013,0,16.7,8.93,84.3,0.06,8.111111111,5.388888889,6.388888889,5.888888889
3,22,2013,3/22/2013,0,18.7,21.52,60.4,0.18,10,1.277777778,5.722222222,5.722222222
3,23,2013,3/23/2013,0,20.6,21.15,65.3,0.19,15.5,8.111111111,7.5,6.777777778
3,24,2013,3/24/2013,0,17.1,19.13,72,0.12,6.5,1.611111111,8.277777778,8.111111111
3,25,2013,3/25/2013,0,8.4,20.82,68.6,0.12,3,-2.777777778,6.277777778,6.777777778
3,26,2013,3/26/2013,1.016,13.2,4.27,89.6,0.03,4.722222222,3,6.277777778,6.5
3,27,2013,3/27/2013,0.1524,9,7.41,95.6,0.04,4.888888889,4.222222222,6.111111111,6.277777778
3,28,2013,3/28/2013,0,10.4,14.47,93,0.08,2.611111111,1.611111111,5.5,6
3,29,2013,3/29/2013,0,9.6,15.7,82.8,0.09,2.388888889,-0.5,5.111111111,5.722222222
3,30,2013,3/30/2013,0,7.8,19.77,79.9,0.11,1.277777778,-2.222222222,4.611111111,5.388888889
3,31,2013,3/31/2013,0,8.5,24.66,70.4,0.15,2.888888889,-2.888888889,4.888888889,5.277777778
4,1,2013,4/1/2013,0,10.9,23.8,68.7,0.18,9,2.277777778,5.888888889,5.888888889
4,2,2013,4/2/2013,1.143,14.4,16.55,76,0.14,11.27777778,6,7.5,7
4,3,2013,4/3/2013,0.4572,11.7,19.69,85.3,0.11,3.611111111,1.222222222,6.888888889,7.222222222
4,4,2013,4/4/2013,0,16.2,23.18,80.6,0.16,6.722222222,3.388888889,6.5,6.722222222
4,5,2013,4/5/2013,0.4572,17.1,3.58,92.5,0.02,4.277777778,3.111111111,6.611111111,6.888888889
4,6,2013,4/6/2013,0.2032,13.8,9.51,97.8,0.05,-1.722222222,-2,4.222222222,5.277777778
4,7,2013,4/7/2013,0.0254,5.4,26.51,85.8,0.14,-1,-3.277777778,3.722222222,4.722222222
4,8,2013,4/8/2013,0,16.9,23.51,77.5,0.17,8.111111111,3.888888889,4.888888889,5.222222222
4,9,2013,4/9/2013,1.143,9.8,7.25,92,0.05,10.77777778,9.388888889,7.111111111,6.611111111
4,10,2013,4/10/2013,0.9398,14.1,15.8,88.3,0.11,8.5,6.611111111,8,7.5
4,11,2013,4/11/2013,7.6454,14.8,1.7,97.5,0.01,5.777777778,5.388888889,7,7.277777778
4,12,2013,4/12/2013,2.4384,17.3,11.62,94.7,0.09,11.27777778,10.5,8.111111111,7.388888889
4,13,2013,4/13/2013,0,15.1,4.47,95.2,0.03,6.722222222,6,8.111111111,8
4,14,2013,4/14/2013,0,15,24.7,80.8,0.2,15.27777778,11.72222222,8.888888889,8
4,15,2013,4/15/2013,1.016,19.5,12.57,87.4,0.09,12.61111111,10.5,11.11111111,10.11111111
4,16,2013,4/16/2013,0,18.2,26.44,70.4,0.2,10.72222222,5.222222222,9.611111111,9.611111111
4,17,2013,4/17/2013,0,12.4,27.32,70.1,0.21,12.38888889,6.277777778,9.888888889,9.611111111
4,18,2013,4/18/2013,0,17.7,21.02,69.9,0.19,17.77777778,11.61111111,11.38888889,10.38888889
4,19,2013,4/19/2013,0,13.5,27.4,63.7,0.22,15.22222222,7.722222222,12.27777778,11.27777778
4,20,2013,4/20/2013,0,6.6,27.25,50.9,0.21,12.61111111,0.888888889,11.88888889,11.27777778
4,21,2013,4/21/2013,0,7.5,5.09,81.3,0.03,9.388888889,6.277777778,11.38888889,11.11111111
4,22,2013,4/22/2013,0,11,28.94,47.5,0.21,9.222222222,-3,9.888888889,10.11111111
4,23,2013,4/23/2013,0,10.8,28.82,55.2,0.22,11.27777778,1.777777778,10.27777778,10
4,24,2013,4/24/2013,0,15,26.45,67.1,0.24,17.72222222,10.88888889,11.72222222,10.77777778
4,25,2013,4/25/2013,0,18.1,22.44,80.9,0.2,21,17.27777778,13.88888889,12.22222222
4,26,2013,4/26/2013,2.3368,23.5,23.98,80.3,0.22,22.27777778,18.61111111,15.38888889,13.5
4,27,2013,4/27/2013,0,11.9,26.6,82.9,0.2,14.11111111,11.11111111,15.5,14.38888889
4,28,2013,4/28/2013,2.3622,17.7,5.44,97.8,0.04,11.88888889,11.61111111,12.72222222,13
4,29,2013,4/29/2013,0,11,15.2,90.5,0.1,8.222222222,6.722222222,12.22222222,12.38888889
4,30,2013,4/30/2013,1.143,16.2,3.39,96.7,0.02,5.5,5,10.22222222,11.11111111
5,1,2013,5/1/2013,0,9.1,16.9,87.6,0.1,5.722222222,3.722222222,9.277777778,9.888888889
5,2,2013,5/2/2013,0,5.6,23.21,78.2,0.16,9.5,5.611111111,10,9.888888889
5,3,2013,5/3/2013,0,11.3,21.45,71.9,0.16,11.77777778,6.611111111,11.27777778,10.72222222
5,4,2013,5/4/2013,0,4.7,27.6,82.2,0.2,12.38888889,9.111111111,11.88888889,11.22222222
5,5,2013,5/5/2013,0,11.7,25.72,78.6,0.21,15.5,11.11111111,13.38888889,12.27777778
5,6,2013,5/6/2013,1.6256,9.8,5.09,97.1,0.03,9.388888889,8.888888889,12.5,12.27777778
5,7,2013,5/7/2013,1.2192,13.6,6.79,97,0.04,8.5,8.111111111,10.88888889,11.22222222
5,8,2013,5/8/2013,0,7.7,24.93,84.8,0.19,11.5,8.722222222,11,10.72222222
5,9,2013,5/9/2013,0,10.6,28.13,72.3,0.23,14.5,8.5,12.5,11.77777778
5,10,2013,5/10/2013,0,8.2,25.06,63.6,0.2,14.77777778,6.777777778,12.72222222,12.11111111
5,11,2013,5/11/2013,0,18.5,23.13,73.6,0.21,17.72222222,12.38888889,13.38888889,12.38888889
5,12,2013,5/12/2013,0,5.6,29.74,71.8,0.23,14.38888889,8.888888889,14.22222222,13.11111111
5,13,2013,5/13/2013,0,10.3,29.55,63.2,0.24,15.61111111,7.722222222,14.38888889,13.5
5,14,2013,5/14/2013,0.6604,11.3,7.16,89.1,0.06,15.72222222,13.88888889,14.38888889,13.5
5,15,2013,5/15/2013,0,12.3,24.37,77.4,0.21,18,13.27777778,15.22222222,13.88888889
5,16,2013,5/16/2013,0,10.6,30.68,65.2,0.24,14.38888889,7.111111111,14.72222222,13.88888889
5,17,2013,5/17/2013,0,12.4,31.08,52.5,0.25,12.72222222,2.222222222,14.22222222,13.61111111
5,18,2013,5/18/2013,0,12.9,31.2,49.5,0.26,13.38888889,1.388888889,14,13.27777778
5,19,2013,5/19/2013,0,9.2,31.37,50,0.26,15.61111111,4.222222222,14.38888889,13.38888889
5,20,2013,5/20/2013,0,6.4,30.88,51.4,0.26,17.72222222,6.722222222,15.27777778,14
5,21,2013,5/21/2013,0,4.4,30.05,46.6,0.27,20.77777778,7.722222222,15.88888889,14.5
5,22,2013,5/22/2013,0,7.1,29.02,46.8,0.27,22.72222222,9.888888889,16.77777778,15.11111111
5,23,2013,5/23/2013,0,7.4,28.71,50.1,0.27,23.88888889,11.88888889,17.5,15.72222222
5,24,2013,5/24/2013,1.4732,13.4,24.05,71.4,0.23,21.88888889,15.72222222,18.11111111,16.27777778
5,25,2013,5/25/2013,0.2032,10.1,28.5,82,0.25,19.88888889,16.27777778,18.11111111,16.61111111
5,26,2013,5/26/2013,0,14.7,14.34,87,0.11,13.11111111,10.88888889,16.77777778,16.22222222
5,27,2013,5/27/2013,0,6.8,31.64,65,0.24,11.77777778,4.5,15.11111111,14.77777778
5,28,2013,5/28/2013,0,8.8,31.59,54.3,0.27,16.61111111,6.277777778,15.5,14.72222222
5,29,2013,5/29/2013,0,12,30.11,51.8,0.27,19.72222222,8.5,16.38888889,15.27777778
5,30,2013,5/30/2013,0,12.5,26.99,65.2,0.25,23.27777778,16.11111111,17.88888889,16.22222222
5,31,2013,5/31/2013,0,12.8,25.46,71.5,0.24,23.22222222,17.27777778,18.77777778,17.22222222
6,1,2013,6/1/2013,0,9.5,24.7,47.3,0.22,19.88888889,7.611111111,17.88888889,16.77777778
6,2,2013,6/2/2013,0.1016,7.9,8.58,53,0.07,13.88888889,4,16.77777778,16
6,3,2013,6/3/2013,0,5,24.31,40.8,0.21,17.5,3.777777778,16.27777778,15.5
6,4,2013,6/4/2013,0,5.2,31.49,48.2,0.28,20.88888889,8.277777778,17,15.72222222
6,5,2013,6/5/2013,0,11.4,23.12,67.4,0.22,23.22222222,16.61111111,18,16.5
6,6,2013,6/6/2013,0.0254,8,29.34,62.7,0.28,26.27777778,17.77777778,19.38888889,17.61111111
6,7,2013,6/7/2013,0,8.8,26.63,57.4,0.26,25.22222222,15.11111111,20,18.27777778
6,8,2013,6/8/2013,1.6256,15.5,5.48,92,0.04,14.72222222,13.27777778,18,17.38888889
6,9,2013,6/9/2013,0,7.2,19.9,84.2,0.16,17.5,14.72222222,17.11111111,16.27777778
6,10,2013,6/10/2013,0,6.4,28.56,65.6,0.25,19.61111111,11.88888889,17.72222222,16.72222222
6,11,2013,6/11/2013,0,6.4,26.41,67.8,0.24,20.88888889,13.77777778,18,17
6,12,2013,6/12/2013,0.2032,9.4,17.32,82.4,0.16,22,18.5,18.88888889,17.61111111
6,13,2013,6/13/2013,0,15.7,28.56,84.6,0.27,25.88888889,22.88888889,19.88888889,18.27777778
6,14,2013,6/14/2013,0.0254,13,27.42,77.9,0.27,27.88888889,23.22222222,21.27777778,19.38888889
6,15,2013,6/15/2013,0,10.6,30.79,71.5,0.3,28.38888889,22.22222222,21.88888889,20.11111111
6,16,2013,6/16/2013,0,4.6,25.53,72.2,0.24,27.61111111,21.5,22.27777778,20.5
6,17,2013,6/17/2013,0,4.5,26.18,67.2,0.25,27.88888889,20.5,22.5,20.72222222
6,18,2013,6/18/2013,0,4.7,25.6,69.1,0.25,28.77777778,21.88888889,22.72222222,20.88888889
6,19,2013,6/19/2013,0,5.2,26.45,77.9,0.25,27.77777778,23.11111111,23.22222222,21.27777778
6,20,2013,6/20/2013,0,5.2,24.63,80.4,0.23,27.61111111,23.61111111,23.38888889,21.61111111
6,21,2013,6/21/2013,0,7.8,28.53,70.3,0.27,27.38888889,21.11111111,23.5,21.72222222
6,22,2013,6/22/2013,0,4.4,28.25,58.2,0.26,25.77777778,16.61111111,23.22222222,21.77777778
6,23,2013,6/23/2013,1.2192,10.4,16.48,81.8,0.15,25.11111111,21.61111111,23,21.88888889
6,24,2013,6/24/2013,0.2032,12.5,7.71,92.8,0.06,18.88888889,17.72222222,21.38888889,21
6,25,2013,6/25/2013,0,7.2,26.99,80.5,0.24,21.22222222,17.27777778,20.38888889,19.88888889
6,26,2013,6/26/2013,0.9398,5.8,12.91,92,0.11,19.77777778,18.38888889,20.77777778,20.38888889
6,27,2013,6/27/2013,0,4.8,28.9,82.3,0.25,21.38888889,17.77777778,20.72222222,20.11111111
6,28,2013,6/28/2013,0,10.1,28.55,78.3,0.27,24.22222222,19.77777778,21.61111111,20.61111111
6,29,2013,6/29/2013,0,11.7,23.6,80.5,0.21,21.72222222,18,21.11111111,20.38888889
6,30,2013,6/30/2013,0,4.5,30.27,80.4,0.27,22.11111111,18.11111111,21.22222222,20.22222222
7,1,2013,7/1/2013,0,8,29.58,81,0.28,24.38888889,20.5,21.77777778,20.77777778
7,2,2013,7/2/2013,0.1016,8.8,19.68,90.2,0.17,22,20.27777778,21.88888889,21.22222222
7,3,2013,7/3/2013,0.254,6.8,22.9,92.1,0.2,22.77777778,21.27777778,21.72222222,20.88888889
7,4,2013,7/4/2013,0,10,28.12,87.7,0.26,26.72222222,24.27777778,22.88888889,21.72222222
7,5,2013,7/5/2013,0,7.5,26.86,85.5,0.26,27.5,24.61111111,23.77777778,22.61111111
7,6,2013,7/6/2013,0,6.8,22.29,86.6,0.21,25.88888889,23.27777778,23.88888889,22.88888889
7,7,2013,7/7/2013,0,8.9,22.91,88.5,0.21,25.88888889,23.72222222,23.72222222,22.77777778
7,8,2013,7/8/2013,0,10.4,17.64,91,0.16,22.77777778,21.11111111,23.22222222,22.61111111
7,9,2013,7/9/2013,0,10.6,29.06,78.9,0.26,20.38888889,16.22222222,21.72222222,21.5
7,10,2013,7/10/2013,0,5.7,29.03,80.5,0.25,18.88888889,15.11111111,21.22222222,20.88888889
7,11,2013,7/11/2013,0.0254,5,30.54,78.7,0.27,20.77777778,16.61111111,21.38888889,20.77777778
7,12,2013,7/12/2013,0,5.3,29.55,79.2,0.27,23.38888889,19.22222222,22.27777778,21.38888889
7,13,2013,7/13/2013,0,5.6,21.84,88.1,0.2,23.11111111,20.72222222,22.61111111,21.72222222
7,14,2013,7/14/2013,0,6.6,25.06,88.1,0.23,24.27777778,22,23.11111111,22.11111111
7,15,2013,7/15/2013,0,5.9,29.04,83.6,0.25,20.72222222,17.5,22.5,21.88888889
7,16,2013,7/16/2013,0,4.8,22.15,80.1,0.2,21.88888889,17.88888889,22.11111111,21.5
7,17,2013,7/17/2013,0,6.3,18.21,90.6,0.16,22.27777778,20.5,22.27777778,21.61111111
7,18,2013,7/18/2013,0.0254,4.2,30.28,77,0.28,22.77777778,17.77777778,22.22222222,21.5
7,19,2013,7/19/2013,0.1778,8.5,15.51,90,0.14,23.38888889,21.61111111,22.27777778,21.61111111
8,1,2013,8/1/2013,0,7.1,25.22,82.5,0.23,22.22222222,18.72222222,21.88888889,22.11111111
8,2,2013,8/2/2013,0.0508,3.7,22.35,86.9,0.2,22.72222222,20.11111111,22.5,22.5
8,3,2013,8/3/2013,1.7018,6.6,25.98,86.5,0.24,23.61111111,20.88888889,22.77777778,22.77777778
8,4,2013,8/4/2013,0.0508,9.3,11.69,94.5,0.1,21.88888889,21,22.61111111,22.77777778
8,5,2013,8/5/2013,0.0508,9,26.63,79.6,0.21,15.5,11.72222222,20.5,21.5
8,6,2013,8/6/2013,0,5.1,25.01,80.7,0.2,15.61111111,11.88888889,19.5,20.22222222
8,7,2013,8/7/2013,0,5.6,26.66,81.7,0.23,18.61111111,15,20,20.22222222
8,8,2013,8/8/2013,0.6604,7.3,23.21,91.4,0.21,22.72222222,21.11111111,21.38888889,21
8,9,2013,8/9/2013,0.1778,8.4,22.98,85.7,0.19,18.22222222,15.61111111,21.11111111,21.22222222
8,10,2013,8/10/2013,0,5.6,13.26,89.6,0.11,17.77777778,16,20,20.22222222
8,11,2013,8/11/2013,0,8.4,14.7,94.3,0.13,21.72222222,20.72222222,20.77777778,20.5
8,12,2013,8/12/2013,0,4.3,15.98,94.2,0.14,21.77777778,20.77777778,21.22222222,20.77777778
8,13,2013,8/13/2013,0.6604,9.3,20.11,90.3,0.19,25.11111111,23.22222222,22.38888889,21.72222222
8,14,2013,8/14/2013,0,8.5,26.6,84,0.22,18.61111111,15.61111111,21.61111111,21.61111111
8,15,2013,8/15/2013,0,3.4,27.3,81.2,0.23,17.38888889,13.61111111,20.11111111,20.27777778
8,16,2013,8/16/2013,0,3.9,26.26,82.1,0.23,19,15.5,20.38888889,20.27777778
8,17,2013,8/17/2013,0,3.6,27.07,81.1,0.24,20.5,16.72222222,20.72222222,20.38888889
8,18,2013,8/18/2013,0,4.2,23.84,86,0.21,21.38888889,18.72222222,21.22222222,20.72222222
8,19,2013,8/19/2013,0,8.8,24.81,82.4,0.23,23.27777778,19.77777778,21.88888889,21.27777778
8,20,2013,8/20/2013,0.4064,6.4,9.66,92.9,0.08,19.77777778,18.5,21.5,21.22222222
8,21,2013,8/21/2013,0,6.2,15.07,91,0.13,17.88888889,16.27777778,20.22222222,20.27777778
8,22,2013,8/22/2013,0,3.4,24.61,88,0.21,18.27777778,16.11111111,19.88888889,19.88888889
8,23,2013,8/23/2013,0,5.8,21.36,85.3,0.19,20.11111111,17.27777778,20.38888889,20.11111111
8,24,2013,8/24/2013,0,7.7,21.44,85.3,0.2,22.11111111,19.22222222,20.77777778,20.38888889
8,25,2013,8/25/2013,0,6.8,22.64,87.8,0.21,23.38888889,21,21.38888889,20.77777778
8,26,2013,8/26/2013,0,5.5,10.43,93.1,0.09,21,19.72222222,21.27777778,21
8,27,2013,8/27/2013,0,7.3,22.71,87.1,0.21,23.61111111,21.11111111,21.38888889,20.77777778
8,28,2013,8/28/2013,1.6764,9.2,8.2,94,0.07,20.77777778,19.77777778,21.61111111,21.22222222
8,29,2013,8/29/2013,0,3.1,24.17,82.5,0.2,17,13.38888889,20,20.22222222
8,30,2013,8/30/2013,1.524,6.7,7.18,96.6,0.06,16.72222222,16.11111111,19.27777778,19.5
8,31,2013,8/31/2013,0.4572,7.6,13.2,93.4,0.11,18,16.77777778,19.5,19.38888889
9,1,2013,9/1/2013,0.0508,6.4,17.08,86,0.13,14.11111111,11.61111111,18.5,18.88888889
9,2,2013,9/2/2013,0,5.5,24.24,80.9,0.19,14.27777778,10.61111111,17.72222222,18.11111111
9,3,2013,9/3/2013,0.0508,4.9,18.08,82.8,0.15,15.5,12.22222222,17.88888889,18
9,4,2013,9/4/2013,0,7.5,6.87,90.3,0.05,14.38888889,12.77777778,17.5,17.72222222
9,5,2013,9/5/2013,0.635,5,5.57,98,0.04,16.77777778,16.38888889,17.61111111,17.61111111
9,6,2013,9/6/2013,0.1016,6.9,23.77,84.7,0.2,18.11111111,15.11111111,18.38888889,18.27777778
9,7,2013,9/7/2013,0,2.9,21.54,83.1,0.18,16.27777778,12.88888889,18.11111111,18.22222222
9,8,2013,9/8/2013,0,3.1,22.91,79.2,0.2,17.72222222,13.22222222,18,18.22222222
9,9,2013,9/9/2013,0,5.2,21.47,81.8,0.19,20.38888889,16.72222222,18.77777778,18.72222222
9,10,2013,9/10/2013,0,4.4,20.94,80.6,0.19,20.88888889,16.77777778,19.22222222,19.11111111
9,11,2013,9/11/2013,0,3,21.2,79.9,0.19,21.38888889,17.11111111,19.61111111,19.38888889
9,12,2013,9/12/2013,0,4.5,19.56,78.6,0.18,21.5,16.88888889,19.88888889,19.72222222
9,13,2013,9/13/2013,0,8,19.18,78.5,0.18,22.22222222,17.61111111,19.88888889,19.77777778
9,14,2013,9/14/2013,0,8.5,20.53,76.7,0.2,23.88888889,18.77777778,20.27777778,20
9,15,2013,9/15/2013,0,9.6,17.28,75.2,0.16,22.72222222,17.5,20.27777778,20.11111111
9,16,2013,9/16/2013,1.2954,8.7,12.08,83.6,0.11,22.38888889,19.38888889,20.38888889,20.5
9,17,2013,9/17/2013,0.0508,7.3,20.35,83.8,0.17,17.77777778,14.72222222,19.77777778,20.38888889
9,18,2013,9/18/2013,0,4.8,22.41,72.2,0.19,17.22222222,11.22222222,18.77777778,19.5
9,19,2013,9/19/2013,0,3.4,21.97,71.2,0.19,18,11.61111111,18.38888889,19
9,20,2013,9/20/2013,0,4.8,21.21,70.6,0.19,18.11111111,11.5,18.38888889,18.77777778
9,21,2013,9/21/2013,0,6.5,18.53,71.6,0.17,18.88888889,12.77777778,18.27777778,18.61111111
9,22,2013,9/22/2013,0,9.7,5.41,85.9,0.05,17,14.38888889,18.5,18.72222222
